iter	Passed	Remaining
615	1056	658
616	1058	656
617	1060	655
618	1062	653
619	1064	652
620	1065	650
621	1067	648
622	1068	646
623	1069	644
624	1070	642
625	1072	640
626	1073	638
627	1074	636
628	1076	635
629	1078	633
630	1079	631
631	1081	629
632	1082	627
633	1083	625
634	1085	623
635	1086	621
636	1087	619
637	1088	617
638	1089	615
639	1092	614
640	1093	612
641	1095	610
642	1096	608
643	1097	606
644	1099	604
645	1100	602
646	1101	601
647	1102	599
648	1104	597
649	1106	595
650	1108	594
651	1109	592
652	1111	590
653	1112	588
654	1113	586
655	1115	584
656	1116	582
657	1117	580
658	1118	578
659	1120	577
660	1122	575
661	1123	573
662	1125	571
663	1126	570
664	1127	568
665	1128	566
666	1130	564
667	1131	562
668	1132	560
669	1133	558
670	1135	556
671	1136	554
672	1138	553
673	1140	551
674	1141	549
675	1142	547
676	1144	545
677	1145	543
678	1146	542
679	1147	540
680	1149	538
681	1150	536
682	1152	534
683	1154	533
684	1155	531
685	1156	529
686	1158	527
687	1159	525
688	1160	523
689	1162	522
690	1163	520
691	1164	518
692	1166	516
693	1167	514
694	1169	513
695	1170	511
696	1172	509
697	1173	507
698	1174	505
699	1175	503
700	1177	502
701	1178	500
702	1179	498
703	1180	496
704	1181	494
705	1183	492
706	1185	491
707	1186	489
708	1188	487
709	1189	485
710	1190	483
711	1191	482
712	1192	480
713	1194	478
714	1195	476
715	1196	474
716	1198	472
717	1200	471
718	1201	469
719	1202	467
720	1204	466
721	1205	464
722	1206	462
723	1207	460
724	1209	458
725	1210	456
726	1211	454
727	1212	453
728	1214	451
729	1216	449
730	1217	448
731	1219	446
732	1220	444
733	1221	442
734	1223	440
735	1224	439
736	1225	437
737	1226	435
738	1228	433
739	1229	432
740	1231	430
741	1232	428
742	1234	426
743	1235	425
744	1236	423
745	1238	421
746	1239	419
747	1240	417
748	1241	416
749	1243	414
750	1244	412
751	1246	411
752	1248	409
753	1249	407
754	1251	405
755	1252	404
756	1253	402
757	1254	400
758	1256	398
759	1257	397
760	1258	395
761	1260	393
762	1261	391
763	1263	390
764	1264	388
765	1265	386
766	1267	384
767	1268	383
768	1270	381
769	1271	379
770	1273	378
771	1276	377
772	1278	375
773	1280	373
774	1282	372
775	1283	370
776	1285	368
777	1287	367
778	1289	365
779	1291	364
780	1293	362
781	1295	361
782	1297	359
783	1300	358
784	1301	356
785	1303	354
786	1305	353
787	1307	351
788	1309	350
789	1311	348
790	1313	346
791	1314	345
792	1316	343
793	1317	341
794	1319	340
795	1320	338
796	1322	336
797	1324	335
798	1326	333
799	1327	331
800	1329	330
801	1331	328
802	1333	327
803	1335	325
804	1336	323
805	1339	322
806	1341	320
807	1342	319
808	1344	317
809	1346	315
810	1348	314
811	1350	312
812	1352	311
813	1355	309
814	1356	308
815	1358	306
816	1360	304
817	1362	303
818	1364	301
819	1366	299
820	1369	298
821	1371	296
822	1372	295
823	1374	293
824	1376	292
825	1378	290
826	1380	288
827	1382	287
828	1385	285
829	1387	284
830	1389	282
831	1391	280
832	1392	279
833	1394	277
834	1396	275
835	1398	274
836	1400	272
837	1402	271
838	1404	269
839	1405	267
840	1407	266
841	1408	264
842	1410	262
843	1412	261
844	1414	259
845	1416	257
846	1418	256
847	1420	254
848	1422	253
849	1425	251
850	1426	249
851	1428	248
852	1430	246
853	1432	244
854	1434	243
855	1437	241
856	1439	240
857	1441	238
858	1445	237
859	1449	235
860	1451	234
861	1453	232
862	1455	231
863	1457	229
864	1459	227
865	1461	226
866	1463	224
867	1465	222
868	1467	221
869	1476	220
870	1478	219
871	1482	217
872	1485	216
873	1487	214
874	1488	212
875	1490	211
876	1494	209
877	1496	207
878	1499	206
879	1501	204
880	1503	203
881	1505	201
882	1507	199
883	1510	198
884	1512	196
885	1514	194
886	1516	193
887	1517	191
888	1519	189
889	1521	188
890	1523	186
891	1525	184
892	1527	183
893	1529	181
894	1530	179
895	1532	177
896	1534	176
897	1536	174
898	1537	172
899	1539	171
900	1541	169
901	1543	167
902	1545	166
903	1546	164
904	1548	162
905	1551	160
906	1552	159
907	1554	157
908	1556	155
909	1558	154
910	1560	152
911	1561	150
912	1563	148
913	1565	147
914	1566	145
915	1568	143
916	1571	142
917	1573	140
918	1575	138
919	1577	137
920	1578	135
921	1580	133
922	1582	132
923	1584	130
924	1586	128
925	1588	126
926	1589	125
927	1591	123
928	1593	121
929	1594	120
930	1596	118
931	1598	116
932	1600	114
933	1603	113
934	1604	111
935	1606	109
936	1608	108
937	1610	106
938	1611	104
939	1613	102
940	1615	101
941	1618	99
942	1619	97
943	1621	96
944	1623	94
945	1625	92
946	1627	91
947	1629	89
948	1631	87
949	1634	86
950	1636	84
951	1638	82
952	1640	80
953	1642	79
954	1644	77
955	1646	75
956	1649	74
957	1651	72
958	1652	70
959	1654	68
960	1656	67
961	1658	65
962	1660	63
963	1661	62
964	1664	60
965	1666	58
966	1668	56
967	1670	55
968	1672	53
969	1674	51
970	1675	50
971	1677	48
972	1680	46
973	1682	44
974	1684	43
975	1685	41
976	1687	39
977	1689	38
978	1691	36
979	1693	34
980	1695	32
981	1697	31
982	1698	29
983	1700	27
984	1702	25
985	1704	24
986	1705	22
987	1707	20
988	1709	19
989	1711	17
990	1713	15
991	1715	13
992	1717	12
993	1719	10
994	1720	8
995	1722	6
996	1724	5
997	1728	3
998	1730	1
999	1732	0
